Index	R	G	B	H	ME
70	0.6949	0.0988	0.2038	0.4972	0.9975
71	0.6979	0.1037	0.2041	0.4988	1.0057
72	0.0966	0.7985	0.0954	0.0939	0.9905
73	0.1986	0.6078	0.1978	0.5054	1.0042
74	0.4062	0.1051	0.4975	0.8943	1.0088
75	0.709	0.0966	0.2034	0.4988	1.009
76	0.2054	0.5933	0.2072	0.5098	1.0059
77	0.4077	0.1018	0.4931	0.094	1.0026
78	0.405	0.1065	0.5058	0.0964	1.0173
79	0.3918	0.0922	0.4927	0.1036	0.9767
80	0.4	0.1	0.5	0.1	1
81	0.3938	0.0999	0.493	0.0911	0.9867
82	0.2012	0.6086	0.2039	0.5017	1.0137
83	0.2076	0.6098	0.19	0.5073	1.0074
84	0.7098	0.1006	0.1996	0.506	1.01
85	0.4	0.108	0.5015	0.9069	1.0095
86	0.7017	0.0949	0.2033	0.4917	0.9999
87	0.7032	0.1046	0.2078	0.5096	1.0156
88	0.7016	0.1086	0.2016	0.4903	1.0118
89	0.1073	0.7997	0.1069	0.0942	1.0139
90	0.4026	0.0906	0.5023	0.0972	0.9955
91	0.0998	0.7939	0.0925	0.0941	0.9862
92	0.0938	0.7909	0.1027	0.0956	0.9874
93	0.4039	0.1	0.5007	0.0989	1.0046
94	0.0998	0.8071	0.1075	0.0954	1.0144
95	0.4013	0.1028	0.4983	0.8941	1.0024
96	0.1916	0.5921	0.1928	0.4933	0.9765
97	0.7015	0.091	0.2086	0.5046	1.0011
98	0.6913	0.1072	0.2087	0.5097	1.0072
99	0.2057	0.6003	0.1936	0.498	0.9996
100	0.0906	0.8088	0.096	0.0959	0.9954
101	0.3993	0.103	0.4905	0.9068	0.9928
102	0.4071	0.097	0.4989	0.0911	1.003
103	0.1033	0.7966	0.108	0.0924	1.0079
104	0.2008	0.6041	0.21	0.4958	1.0149
105	0.3993	0.1053	0.5064	0.092	1.011
106	0.0972	0.7911	0.1004	0.0967	0.9887
107	0.0942	0.8081	0.1035	0.0994	1.0058
108	0.1921	0.6049	0.2047	0.5012	1.0017
109	0.1019	0.796	0.0927	0.0943	0.9906
110	0.1914	0.5948	0.1911	0.4988	0.9773
111	0.1079	0.7939	0.0919	0.0961	0.9937
112	0.392	0.1099	0.4966	0.0959	0.9985
113	0.096	0.7909	0.1001	0.1052	0.987
114	0.6918	0.0916	0.2055	0.5081	0.9889
115	0.3922	0.1065	0.4968	0.0959	0.9955
116	0.6902	0.091	0.2034	0.5021	0.9846
117	0.4046	0.1041	0.5056	0.0958	1.0143
118	0.7011	0.0979	0.1912	0.5056	0.9902
119	0.4022	0.1048	0.4921	0.8926	0.9991
120	0.3997	0.1078	0.506	0.1047	1.0135
121	0.0915	0.7918	0.106	0.1089	0.9893
122	0.6926	0.1045	0.1922	0.4923	0.9893
123	0.6966	0.1031	0.205	0.5017	1.0047
124	0.6947	0.1047	0.2094	0.5073	1.0088
125	0.0973	0.7974	0.1037	0.102	0.9984
126	0.6974	0.0941	0.1917	0.5054	0.9832
127	0.3978	0.101	0.4946	0.9028	0.9934
128	0.393	0.1056	0.492	0.0959	0.9906
129	0.2	0.6	0.2	0.5	1
130	0.7	0.1	0.2	0.5	1
131	0.4006	0.0918	0.4981	0.8921	0.9905
132	0.1057	0.7958	0.1021	0.1093	1.0036
133	0.4039	0.1052	0.4987	0.1031	1.0078
134	0.1087	0.7937	0.0953	0.106	0.9977
135	0.4054	0.0979	0.4955	0.0907	0.9988
136	0.6986	0.099	0.2022	0.4912	0.9998
137	0.4055	0.1039	0.4925	0.8926	1.0019
138	0.0902	0.7985	0.1031	0.1045	0.9918
139	0.3922	0.1026	0.4925	0.0927	0.9873
140	0.0928	0.7934	0.0939	0.0963	0.9801
141	0.3944	0.095	0.5079	0.9041	0.9973
142	0.3937	0.0942	0.4915	0.1083	0.9794
143	0.7012	0.0963	0.1933	0.5024	0.9908
144	0.1934	0.5952	0.1979	0.4915	0.9865
145	0.698	0.1097	0.198	0.5024	1.0057
146	0.0976	0.7932	0.1052	0.1074	0.996
147	0.4037	0.0959	0.5006	0.9066	1.0002
148	0.3967	0.096	0.4991	0.0985	0.9918
149	0.4012	0.1049	0.4985	0.8986	1.0046
150	0.0905	0.7958	0.0964	0.1031	0.9827
151	0.2087	0.5992	0.1948	0.5053	1.0027
152	0.7048	0.1049	0.1921	0.5036	1.0018
153	0.3942	0.092	0.5065	0.0935	0.9927
154	0.1033	0.8079	0.1003	0.1041	1.0115
155	0.1091	0.8008	0.1036	0.0907	1.0135
156	0.205	0.5924	0.2005	0.4965	0.9979
157	0.398	0.0983	0.4936	0.0951	0.9899
158	0.1085	0.8031	0.1087	0.0933	1.0203
159	0.2059	0.6015	0.1988	0.4952	1.0062
160	0.6946	0.0913	0.2053	0.5034	0.9912
161	0.7028	0.0984	0.1978	0.5063	0.999
162	0.4063	0.1058	0.507	0.9001	1.0191
163	0.709	0.0989	0.1912	0.5073	0.9991
164	0.6971	0.1099	0.1945	0.503	1.0015
165	0.6977	0.0928	0.1905	0.4984	0.981
166	0.1045	0.7974	0.1068	0.1047	1.0087
167	0.3935	0.1091	0.4953	0.1085	0.9979
168	0.3975	0.0918	0.5028	0.8936	0.9921
169	0.1045	0.7969	0.1032	0.0977	1.0046
170	0.6904	0.1082	0.206	0.5049	1.0046
171	0.1977	0.6023	0.2015	0.5006	1.0015
172	0.395	0.099	0.4946	0.9061	0.9886
173	0.1906	0.6007	0.1917	0.506	0.983
174	0.1913	0.6088	0.1904	0.5037	0.9905
175	0.7007	0.1077	0.208	0.5025	1.0164
176	0.0944	0.7936	0.0908	0.0921	0.9788
177	0.7088	0.0971	0.1982	0.5097	1.0041
178	0.2035	0.6098	0.2053	0.4967	1.0186
179	0.6949	0.0959	0.2036	0.5006	0.9944
180	0.4021	0.105	0.5017	0.101	1.0088
181	0.4002	0.0917	0.5044	0.1099	0.9963
182	0.4094	0.0969	0.5077	0.8991	1.014
183	0.3944	0.0925	0.4962	0.1045	0.9831
184	0.7039	0.0902	0.2069	0.5084	1.001
185	0.6909	0.0976	0.2041	0.5046	0.9926
186	0.3954	0.1035	0.4995	0.9025	0.9984
187	0.3935	0.1066	0.5053	0.9087	1.0054
188	0.0936	0.792	0.0998	0.0939	0.9854
189	0.192	0.5909	0.2011	0.5054	0.984
190	0.3936	0.0968	0.4942	0.9002	0.9846
191	0.2026	0.592	0.1978	0.4911	0.9924
192	0.3986	0.11	0.5062	0.0997	1.0148
193	0.1928	0.5978	0.2085	0.5083	0.9991
194	0.7024	0.0969	0.2087	0.4925	1.008
195	0.7029	0.1067	0.198	0.505	1.0076
196	0.1964	0.601	0.2096	0.501	1.007
197	0.4024	0.0972	0.5051	0.8983	1.0047
198	0.4039	0.1095	0.4966	0.1068	1.01
199	0.7091	0.0906	0.1971	0.5033	0.9968
200	0.3946	0.1042	0.5025	0.9018	1.0013
201	0.691	0.097	0.199	0.4948	0.987
202	0.7071	0.0956	0.2046	0.4928	1.0073
203	0.1928	0.6018	0.1973	0.5061	0.9919
204	0.3998	0.1075	0.4971	0.099	1.0044
205	0.1908	0.6095	0.1938	0.5033	0.9941
